source,dbid,taxon,action,note,barcode
BOLD,HZPLY933-13.COI-5P,Poecilochaetus serpens,REMOVE,Sativa: Grouped with Spionida,coi.lerayxt
GENBANK,557883901,Hiatella arctica,REMOVE,Sativa: Grouped with Venerida,coi.lerayxt
GENBANK,2212242304,Botryllus schlosseri,REMOVE,Sativa: Grouped with Aplousobranchia,coi.lerayxt
BOLD,PCALN005-10.COI-5P,Glycera tridactyla,REMOVE,Sativa: Grouped with Eunicida,coi.lerayxt
BOLD,BBAY159-14.COI-5P,Mya arenaria,REMOVE,Sativa: Grouped with Nuculanida,coi.lerayxt
GENBANK,572924144,Diogenes pugilator,REMOVE,Sativa: Grouped with Mysida,coi.lerayxt
BOLD,SWEMA319-15.COI-5P,Lucinoma borealis,REMOVE,Sativa: Grouped with Venerida,coi.lerayxt
GENBANK,908309262,Onchidoris bilamellata,REMOVE,Sativa: Grouped with Doridida,coi.lerayxt
GENBANK,1430075124,Acanthodoris pilosa,REMOVE,Sativa: Grouped with Doridida,coi.lerayxt
GENBANK,119382574,Aurelia aurita,REMOVE,Sativa: Grouped with Rhizostomeae,coi.lerayxt
BOLD,CMBIA078-10.COI-5P,Dendronotus frondosus,REMOVE,Sativa: Grouped with Trochida,coi.lerayxt
GENBANK,704354657,Cylichna cylindracea,REMOVE,Sativa: Grouped with Nudibranchia,coi.lerayxt
GENBANK,1780533655,Pododesmus patelliformis,REMOVE,Sativa: Grouped with Mytilida,coi.lerayxt
GENBANK,1867190632,Euterpina acutifrons,REMOVE,Sativa: Grouped with Cyclopoida,coi.lerayxt
BOLD,BHAK3526-20.COI-5P,Lucinoma annulata,REMOVE,Sativa: Grouped with Venerida,coi.lerayxt
GENBANK,572924162,Phyllodoce lineata,REMOVE,Sativa: Grouped with Aciculata,coi.lerayxt
GENBANK,10197782,Oithona nana,REMOVE,Sativa: Grouped with Calanoida,coi.lerayxt
BOLD,CAISN1252-13.COI-5P,Bougainvillia superciliaris,REMOVE,Sativa: Grouped with Leptothecata,coi.lerayxt
BOLD,IPID013-10.COI-5P,Eusergestes arcticus,REMOVE,Sativa: Grouped with Euphausiacea,coi.lerayxt
BOLD,IPID012-10.COI-5P,Eusergestes arcticus,REMOVE,Sativa: Grouped with Euphausiacea,coi.lerayxt
BOLD,IPID021-10.COI-5P,Eusergestes arcticus,REMOVE,Sativa: Grouped with Euphausiacea,coi.lerayxt
BOLD,IPID014-10.COI-5P,Eusergestes arcticus,REMOVE,Sativa: Grouped with Euphausiacea,coi.lerayxt
BOLD,IPID015-10.COI-5P,Eusergestes arcticus,REMOVE,Sativa: Grouped with Euphausiacea,coi.lerayxt
GENBANK,46488667,Glycera tridactyla,REMOVE,Sativa: Grouped with Terebellida,coi.lerayxt
GENBANK,82622180,Phaxas pellucidus,REMOVE,Sativa: Grouped with Cardiida,coi.lerayxt
BOLD,BHAK281-17.COI-5P,Onchidoris bilamellata,REMOVE,Sativa: Grouped with Neogastropoda,coi.lerayxt
BOLD,SWEMA605-15.COI-5P,Athelges paguri,REMOVE,Sativa: Grouped with Decapoda,coi.lerayxt
GENBANK,805575768,Onchidoris bilamellata,REMOVE,Sativa: Grouped with Doridida,coi.lerayxt
GENBANK,572924170,Pseudomystides limbata,REMOVE,Sativa: Grouped with Canalipalpata,coi.lerayxt
BOLD,KHA611-14.COI-5P,Periphylla periphylla,REMOVE,Sativa: Grouped with Semaeostomeae,coi.lerayxt
GENBANK,164429838,Marphysa sanguinea,REMOVE,Sativa: Grouped with Phyllodocida,coi.lerayxt
GENBANK,164429836,Marphysa sanguinea,REMOVE,Sativa: Grouped with Phyllodocida,coi.lerayxt
GENBANK,1383528063,Onchidoris muricata,REMOVE,Sativa: Grouped with Doridida,coi.lerayxt
BOLD,ESTA061-15.COI-5P,Melita palmata,REMOVE,Sativa: Grouped with Decapoda,coi.lerayxt
BOLD,MOLFI085-14.COI-5P,Peringia ulvae,REMOVE,Sativa: Grouped with Neogastropoda,coi.lerayxt
BOLD,KBCSM333-14.COI-5P,Eutonina indicans,REMOVE,Sativa: Grouped with Anthoathecata,coi.lerayxt
BOLD,KBCSM687-14.COI-5P,Eutonina indicans,REMOVE,Sativa: Grouped with Anthoathecata,coi.lerayxt
BOLD,BNSE014-11.COI-5P,Ophiura albida,REMOVE,Sativa: Grouped with Asteroidea,coi.lerayxt
BOLD,ORIA069-23.COI-5P,Flaccisagitta enflata,REMOVE,Sativa: Grouped with Malacostraca,coi.lerayxt
BOLD,BNSE017-11.COI-5P,Ophiura albida,REMOVE,Sativa: Grouped with Asteroidea,coi.lerayxt
BOLD,BIPOL191-09.COI-5P,Eukrohnia hamata,REMOVE,Sativa: Grouped with Malacostraca,coi.lerayxt
BOLD,BIPOL175-09.COI-5P,Eukrohnia hamata,REMOVE,Sativa: Grouped with Ophiuroidea,coi.lerayxt
BOLD,BIPOL300-10.COI-5P,Eukrohnia hamata,REMOVE,Sativa: Grouped with Malacostraca,coi.lerayxt
BOLD,PMACA049-17.COI-5P,Stenothoe monoculoides,REMOVE,Sativa: Grouped with Amphilochidae,coi.lerayxt
BOLD,IPID204-11.COI-5P,Xantho pilipes,REMOVE,Sativa: Grouped with Pilumnidae,coi.lerayxt
BOLD,IPID203-11.COI-5P,Xantho pilipes,REMOVE,Sativa: Grouped with Pilumnidae,coi.lerayxt
BOLD,KHA092-14.COI-5P,Urticina felina,REMOVE,Sativa: Grouped with Metridiidae,coi.lerayxt
BOLD,KHA093-14.COI-5P,Urticina felina,REMOVE,Sativa: Grouped with Metridiidae,coi.lerayxt
BOLD,KHA095-14.COI-5P,Urticina felina,REMOVE,Sativa: Grouped with Metridiidae,coi.lerayxt
BOLD,KHA094-14.COI-5P,Urticina felina,REMOVE,Sativa: Grouped with Metridiidae,coi.lerayxt
GENBANK,1430075262,Apherusa bispinosa,REMOVE,Sativa: Grouped with Aoridae,coi.lerayxt
GENBANK,2656475374,Apherusa bispinosa,REMOVE,Sativa: Grouped with Aoridae,coi.lerayxt
BOLD,SWEMA457-15.COI-5P,Pilumnus hirtellus,REMOVE,Sativa: Grouped with Xanthidae,coi.lerayxt
BOLD,IPID206-11.COI-5P,Polybius holsatus,REMOVE,Sativa: Grouped with Inachidae,coi.lerayxt
BOLD,NBC101-14.COI-5P,Retusa umbilicata,REMOVE,Sativa: Grouped with Cylichnidae,coi.lerayxt
GENBANK,374283768,Krohnitta subtilis,REMOVE,Sativa: Grouped with Sagittidae,coi.lerayxt
BOLD,CAISN893-13.COI-5P,Eukrohnia hamata,REMOVE,Sativa: Grouped with Aphragmophora,coi.lerayxt
GENBANK,1430075176,Macoma calcarea,REMOVE,Sativa: Grouped with Semelidae,coi.lerayxt
BOLD,WHBI130-23.COI-5P,Pandalus montagui,REMOVE,Sativa: Grouped with Hippolytidae,coi.lerayxt
BOLD,WHBI147-23.COI-5P,Pandalus montagui,REMOVE,Sativa: Grouped with Hippolytidae,coi.lerayxt
BOLD,POLNZ300-10.COI-5P,Phyllodoce longipes,REMOVE,Sativa: Grouped with Nereididae,coi.lerayxt
BOLD,BCASB019-16.COI-5P,Hemigrapsus takanoi,REMOVE,Sativa: Grouped with Galatheidae,coi.lerayxt
BOLD,CAISN892-13.COI-5P,Eukrohnia hamata,REMOVE,Sativa: Grouped with Aphragmophora,coi.lerayxt
BOLD,CRYNO896-19.COI-5P,Sthenelais limicola,REMOVE,Sativa: Grouped with Phyllodocidae,coi.lerayxt
GENBANK,1430074890,Tritia reticulata,REMOVE,Sativa: Grouped with Buccinidae,coi.lerayxt
GENBANK,2727575299,Dermochelys coriacea,REMOVE,Sativa: Grouped with Cheloniidae,coi.lerayxt
GENBANK,1430074706,Palaemon varians,REMOVE,Sativa: Grouped with Paguridae,coi.lerayxt
GENBANK,66351974,Lepidonotus squamatus,REMOVE,Sativa: Grouped with Harmothoe,coi.lerayxt
GENBANK,1430075709,Polybius pusillus,REMOVE,Sativa: Grouped with Carcinidae,coi.lerayxt
BOLD,KHA100-14.COI-5P,Metridium senile,REMOVE,Sativa: Grouped with Actiniidae,coi.lerayxt
BOLD,KHA101-14.COI-5P,Metridium senile,REMOVE,Sativa: Grouped with Actiniidae,coi.lerayxt
BOLD,KHA107-14.COI-5P,Metridium senile,REMOVE,Sativa: Grouped with Actiniidae,coi.lerayxt
BOLD,PCALE073-14.COI-5P,Marphysa sanguinea,REMOVE,Sativa: Grouped with Onuphidae,coi.lerayxt
GENBANK,1015633468,Ophiura albida,REMOVE,Sativa: Grouped with Amphilepidida,coi.lerayxt
GENBANK,1317844203,Sthenelais boa,REMOVE,Sativa: Grouped with Polynoidae,coi.lerayxt
GENBANK,2250419738,Sigalion mathildae,REMOVE,Sativa: Grouped with Polynoidae,coi.lerayxt
BOLD,KBCSM676-14.COI-5P,Eutonina indicans,REMOVE,Sativa: Grouped with Eirenidae,coi.lerayxt
BOLD,KBCSM275-14.COI-5P,Eutonina indicans,REMOVE,Sativa: Grouped with Eirenidae,coi.lerayxt
GENBANK,316936392,Penaeus vannamei,REMOVE,Sativa: Grouped with Palaemonidae,coi.lerayxt
GENBANK,359744724,Eukrohnia fowleri,REMOVE,Sativa: Grouped with Aphragmophora,coi.lerayxt
GENBANK,359744722,Eukrohnia fowleri,REMOVE,Sativa: Grouped with Aphragmophora,coi.lerayxt
GENBANK,359744718,Eukrohnia fowleri,REMOVE,Sativa: Grouped with Aphragmophora,coi.lerayxt
BOLD,SKAG054-11.COI-5P,Hediste diversicolor,REMOVE,Sativa: Grouped with Alitta,coi.lerayxt
BOLD,SKAG055-11.COI-5P,Hediste diversicolor,REMOVE,Sativa: Grouped with Alitta,coi.lerayxt
GENBANK,2727575291,Chelonia mydas,REMOVE,Sativa: Grouped with Eretmochelys,coi.lerayxt
GENBANK,2727575271,Chelonia mydas,REMOVE,Sativa: Grouped with Eretmochelys,coi.lerayxt
GENBANK,1830461308,Leptostylis villosa,REMOVE,Sativa: Grouped with Diastyloides,coi.lerayxt
BOLD,PIMI041-23.COI-5P,Astarte crenata,REMOVE,Sativa: Grouped with Tridonta,coi.lerayxt
GENBANK,1830461304,Diastylis laevis,REMOVE,Sativa: Grouped with Diastyloides,coi.lerayxt
GENBANK,2727575281,Chelonia mydas,REMOVE,Sativa: Grouped with Eretmochelys,coi.lerayxt
BOLD,BHAK3011-20.COI-5P,Harmothoe imbricata,REMOVE,Sativa: Grouped with Harmothoe extenuata,coi.lerayxt
BOLD,SKAG111-12.COI-5P,Pholoe inornata,REMOVE,Sativa: Grouped with Pholoe baltica,coi.lerayxt
BOLD,HZPLY939-13.COI-5P,Spiophanes bombyx,REMOVE,Sativa: Grouped with Prionospio,coi.lerayxt
GENBANK,908308785,Aeolidia papillosa,REMOVE,Sativa: Grouped with Aeolidiella,coi.lerayxt
GENBANK,2057495596,Mytilus edulis,REMOVE,Sativa: Grouped with Aulacomya,coi.lerayxt
GENBANK,2057495591,Mytilus edulis,REMOVE,Sativa: Grouped with Aulacomya,coi.lerayxt
GENBANK,908308567,Aeolidia papillosa,REMOVE,Sativa: Grouped with Aeolidiella,coi.lerayxt
GENBANK,2057495594,Mytilus edulis,REMOVE,Sativa: Grouped with Aulacomya,coi.lerayxt
GENBANK,767808767,Hediste diversicolor,REMOVE,Sativa: Grouped with Alitta,coi.lerayxt
BOLD,BHAK584-18.COI-5P,Adalaria proxima,REMOVE,Sativa: Grouped with Onchidoris,coi.lerayxt
GENBANK,1104599688,Brachidontes exustus,REMOVE,Sativa: Grouped with Geukensia,coi.lerayxt
GENBANK,74476728,Hediste diversicolor,REMOVE,Sativa: Grouped with Alitta,coi.lerayxt
GENBANK,767807501,Hediste diversicolor,REMOVE,Sativa: Grouped with Alitta,coi.lerayxt
BOLD,ARBEN028-18.COI-5P,Astarte crenata,REMOVE,Sativa: Grouped with Tridonta,coi.lerayxt
BOLD,ARBEN029-18.COI-5P,Astarte crenata,REMOVE,Sativa: Grouped with Tridonta,coi.lerayxt
BOLD,SWEMA223-15.COI-5P,Cerastoderma edule,REMOVE,Sativa: Grouped with Acanthocardia,coi.lerayxt
GENBANK,2727575287,Chelonia mydas,REMOVE,Sativa: Grouped with Eretmochelys,coi.lerayxt
GENBANK,2852900733,Sepiola atlantica,REMOVE,Sativa: Grouped with Sepietta,coi.lerayxt
GENBANK,ILGEA112-20.COI-5P,Sepiola atlantica,REMOVE,Sativa: Grouped with Sepietta,coi.lerayxt
GENBANK,NBMM431-18.COI-5P,Sepiola atlantica,REMOVE,Sativa: Grouped with Sepietta,coi.lerayxt
GENBANK,323134810,Alitta succinea,REMOVE,Sativa: Grouped with Platynereis,coi.lerayxt
BOLD,HABFA856-20.COI-5P,Echinus esculentus,REMOVE,Sativa: Grouped with Gracilechinus,coi.lerayxt
