C_Code,SpecCode,country,Species,database,synonym,Status,Genus,Family,Order,Class,CommonName,Fresh,Brack,Saltwater
056,57073,Belgium,Alloteuthis subulata,sealifebase,Alloteuthis subulata,accepted name,Alloteuthis,Loliginidae,Myopsida,Cephalopoda,European common squid,0,0,1
056,57073,Belgium,Alloteuthis subulata,sealifebase,Loligo media,synonym,Alloteuthis,Loliginidae,Myopsida,Cephalopoda,European common squid,0,0,1
056,57073,Belgium,Alloteuthis subulata,sealifebase,Loligo subulata,synonym,Alloteuthis,Loliginidae,Myopsida,Cephalopoda,European common squid,0,0,1
056,57073,Belgium,Alloteuthis subulata,sealifebase,Sepiola subalata,synonym,Alloteuthis,Loliginidae,Myopsida,Cephalopoda,European common squid,0,0,1
826,24659,UK,Alpheus macrocheles,sealifebase,Alpheus macrocheles,accepted name,Alpheus,Alpheidae,Decapoda,Malacostraca,Red pistol shrimp,0,1,1
056,3719,Belgium,Alvania lactea,sealifebase,Alvania lactea,accepted name,Alvania,Rissoidae,Littorinimorpha,Gastropoda,NA,0,0,1
826,60317,UK,Amalosoma eddystonense,sealifebase,Amalosoma eddystonense,accepted name,Amalosoma,Bonelliidae,Echiuroidea,Polychaeta,NA,0,0,1
056,141761,Belgium,Ammonia beccarii,sealifebase,Ammonia beccarii,accepted name,Ammonia,Rotaliidae,Rotaliida,Globothalamea,NA,0,0,1
826,56323,UK,Ammothea hilgendorfi,sealifebase,Ammothea hilgendorfi,accepted name,Ammothea,Ammotheidae,Pantopoda,Pycnogonida,Hilgendorf's sea spider,0,0,1
826,56323,UK,Ammothea hilgendorfi,sealifebase,Ammothea marginatum,synonym,Ammothea,Ammotheidae,Pantopoda,Pycnogonida,Hilgendorf's sea spider,0,0,1
056,56353,Belgium,Ammothella longipes,sealifebase,Ammothella longipes,accepted name,Ammothella,Ammotheidae,Pantopoda,Pycnogonida,NA,0,0,1
056,56353,Belgium,Ammothella longipes,sealifebase,Ammothella magnirostris,synonym,Ammothella,Ammotheidae,Pantopoda,Pycnogonida,NA,0,0,1
056,56353,Belgium,Ammothella longipes,sealifebase,Amothella hispida,synonym,Ammothella,Ammotheidae,Pantopoda,Pycnogonida,NA,0,0,1
056,23958,Belgium,Ampelisca brevicornis,sealifebase,Ampelisca brevicornis,accepted name,Ampelisca,Ampeliscidae,Amphipoda,Malacostraca,NA,0,1,1
056,23958,Belgium,Ampelisca brevicornis,sealifebase,Ampelisca retangula,synonym,Ampelisca,Ampeliscidae,Amphipoda,Malacostraca,NA,0,1,1
056,23956,Belgium,Ampelisca spinipes,sealifebase,Ampelisca spinipes,accepted name,Ampelisca,Ampeliscidae,Amphipoda,Malacostraca,NA,0,0,1
056,23957,Belgium,Ampelisca typica,sealifebase,Ampelisca typica,accepted name,Ampelisca,Ampeliscidae,Amphipoda,Malacostraca,NA,0,0,1
056,40917,Belgium,Ampharete acutifrons,sealifebase,Ampharete acutifrons,accepted name,Ampharete,Ampharetidae,Terebellida,Polychaeta,NA,0,0,1
056,40917,Belgium,Ampharete acutifrons,sealifebase,Amphicteis acutifrons,synonym,Ampharete,Ampharetidae,Terebellida,Polychaeta,NA,0,0,1
528,32261,Netherlands,Amphibalanus amphitrite,sealifebase,Amphibalanus amphitrite,accepted name,Amphibalanus,Balanidae,Balanomorpha,Thecostraca,Purple acorn barnacle,0,1,1
528,32261,Netherlands,Amphibalanus amphitrite,sealifebase,Balanus amphitrite,synonym,Amphibalanus,Balanidae,Balanomorpha,Thecostraca,Purple acorn barnacle,0,1,1
528,32261,Netherlands,Amphibalanus amphitrite,sealifebase,Balanus amphitrite amphitrite,synonym,Amphibalanus,Balanidae,Balanomorpha,Thecostraca,Purple acorn barnacle,0,1,1
826,152367,UK,Amphilectus ovulum,sealifebase,Amphilectus lobatus,synonym,Amphilectus,Esperiopsidae,Poecilosclerida,Demospongiae,Beige horny sponge,0,0,1
826,152367,UK,Amphilectus ovulum,sealifebase,Amphilectus ovulum,accepted name,Amphilectus,Esperiopsidae,Poecilosclerida,Demospongiae,Beige horny sponge,0,0,1
826,152367,UK,Amphilectus ovulum,sealifebase,Mycale ovulum,synonym,Amphilectus,Esperiopsidae,Poecilosclerida,Demospongiae,Beige horny sponge,0,0,1
056,23998,Belgium,Amphilochus manudens,sealifebase,Amphilochus manudens,accepted name,Amphilochus,Amphilochidae,Amphipoda,Malacostraca,NA,0,0,1
056,43173,Belgium,Amphinema dinema,sealifebase,Amphinema dinema,accepted name,Amphinema,Pandeidae,Anthoathecata,Hydrozoa,NA,0,0,1
056,43173,Belgium,Amphinema dinema,sealifebase,Oceania dinema,synonym,Amphinema,Pandeidae,Anthoathecata,Hydrozoa,NA,0,0,1
056,49427,Belgium,Amphipholis squamata,sealifebase,Amphiopholis squamata,synonym,Amphipholis,Amphiuridae,Amphilepidida,Ophiuroidea,Dwarf brittle star,0,1,1
056,49427,Belgium,Amphipholis squamata,sealifebase,Amphioplus squamata,synonym,Amphipholis,Amphiuridae,Amphilepidida,Ophiuroidea,Dwarf brittle star,0,1,1
056,49427,Belgium,Amphipholis squamata,sealifebase,Amphipholis squamata,accepted name,Amphipholis,Amphiuridae,Amphilepidida,Ophiuroidea,Dwarf brittle star,0,1,1
056,49427,Belgium,Amphipholis squamata,sealifebase,Amphiura squamata,synonym,Amphipholis,Amphiuridae,Amphilepidida,Ophiuroidea,Dwarf brittle star,0,1,1
056,49427,Belgium,Amphipholis squamata,sealifebase,Asterias squamata,synonym,Amphipholis,Amphiuridae,Amphilepidida,Ophiuroidea,Dwarf brittle star,0,1,1
056,49427,Belgium,Amphipholis squamata,sealifebase,Axiognathus squamatus,synonym,Amphipholis,Amphiuridae,Amphilepidida,Ophiuroidea,Dwarf brittle star,0,1,1
056,40459,Belgium,Amphitritides gracilis,sealifebase,Amphitritides gracilis,accepted name,Amphitritides,Terebellidae,Terebellida,Polychaeta,NA,0,0,1
056,40459,Belgium,Amphitritides gracilis,sealifebase,Terebella gracilis,synonym,Amphitritides,Terebellidae,Terebellida,Polychaeta,NA,0,0,1
056,49878,Belgium,Amphiura chiajei,sealifebase,Amphiura chiajei,accepted name,Amphiura,Amphiuridae,Amphilepidida,Ophiuroidea,NA,0,0,1
056,49879,Belgium,Amphiura filiformis,sealifebase,Amphiura filiformis,accepted name,Amphiura,Amphiuridae,Amphilepidida,Ophiuroidea,NA,0,0,1
826,26466,UK,Anapagurus chiroacanthus,sealifebase,Anapagurus chiroacanthus,accepted name,Anapagurus,Paguridae,Decapoda,Malacostraca,NA,0,0,1
826,26466,UK,Anapagurus chiroacanthus,sealifebase,Anapagurus chiroacanthys,synonym,Anapagurus,Paguridae,Decapoda,Malacostraca,NA,0,0,1
056,90250,Belgium,Anapagurus hyndmanni,sealifebase,Anapagurus hyndmanni,accepted name,Anapagurus,Paguridae,Decapoda,Malacostraca,NA,0,0,1
826,89766,UK,Anapagurus laevis,sealifebase,Anapagurus laevis,accepted name,Anapagurus,Paguridae,Decapoda,Malacostraca,NA,0,0,1
826,23023,UK,Anarthrura simplex,sealifebase,Anarthrura simplex,accepted name,Anarthrura,Anarthruridae,Tanaidacea,Malacostraca,NA,0,0,1
056,20081,Belgium,Anchialina agilis,sealifebase,Anchialina agilis,accepted name,Anchialina,Mysidae,Mysida,Malacostraca,NA,0,0,1
056,9829,Belgium,Animoceradocus semiserratus,sealifebase,Animoceradocus semiserratus,accepted name,Animoceradocus,Maeridae,Amphipoda,Malacostraca,NA,0,0,1
056,9829,Belgium,Animoceradocus semiserratus,sealifebase,Ceradocus semiserratus,synonym,Animoceradocus,Maeridae,Amphipoda,Malacostraca,NA,0,0,1
056,56017,Belgium,Anoplodactylus petiolatus,sealifebase,Anoplodactylus petiolatus,accepted name,Anoplodactylus,Phoxichilidiidae,Pantopoda,Pycnogonida,NA,0,0,1
056,56017,Belgium,Anoplodactylus petiolatus,sealifebase,Phoxichilidium petiolatum,synonym,Anoplodactylus,Phoxichilidiidae,Pantopoda,Pycnogonida,NA,0,0,1
056,140828,Belgium,Anoplosyllis edentula,sealifebase,Anoplosyllis edentula,accepted name,Anoplosyllis,Syllidae,Phyllodocida,Polychaeta,NA,0,0,1
056,59826,Belgium,Antalis entalis,sealifebase,Antalis entale,synonym,Antalis,Dentaliidae,Dentaliida,Scaphopoda,Occidental tuskshell,0,0,1
056,59826,Belgium,Antalis entalis,sealifebase,Antalis entale occidentale,synonym,Antalis,Dentaliidae,Dentaliida,Scaphopoda,Occidental tuskshell,0,0,1
056,59826,Belgium,Antalis entalis,sealifebase,Antalis entalis,accepted name,Antalis,Dentaliidae,Dentaliida,Scaphopoda,Occidental tuskshell,0,0,1
056,59826,Belgium,Antalis entalis,sealifebase,Dentalium entale,synonym,Antalis,Dentaliidae,Dentaliida,Scaphopoda,Occidental tuskshell,0,0,1
056,59826,Belgium,Antalis entalis,sealifebase,Dentalium entale stimpsoni,synonym,Antalis,Dentaliidae,Dentaliida,Scaphopoda,Occidental tuskshell,0,0,1
056,59826,Belgium,Antalis entalis,sealifebase,Dentalium entalis,synonym,Antalis,Dentaliidae,Dentaliida,Scaphopoda,Occidental tuskshell,0,0,1
826,83515,UK,Anthopleura ballii,sealifebase,Anthopleura ballii,accepted name,Anthopleura,Actiniidae,Actiniaria,Hexacorallia,NA,0,0,1
826,23140,UK,Anthura gracilis,sealifebase,Anthura gracilis,accepted name,Anthura,Anthuridae,Isopoda,Malacostraca,NA,0,0,1
056,38920,Belgium,Aonides oxycephala,sealifebase,Aonides oxycephala,accepted name,Aonides,Spionidae,Spionida,Polychaeta,NA,0,0,1
056,38922,Belgium,Aonides paucibranchiata,sealifebase,Aonides paucibranchiata,accepted name,Aonides,Spionidae,Spionida,Polychaeta,NA,0,0,1
826,8907,UK,Aora gracilis,sealifebase,Aora gracilis,accepted name,Aora,Aoridae,Amphipoda,Malacostraca,NA,0,0,1
056,24036,Belgium,Aora typica,sealifebase,Aora typica,accepted name,Aora,Aoridae,Amphipoda,Malacostraca,NA,0,0,1
056,38614,Belgium,Aphelochaeta marioni,sealifebase,Aphelochaeta marioni,accepted name,Aphelochaeta,Cirratulidae,Canalipalpata,Polychaeta,NA,0,1,1
056,38614,Belgium,Aphelochaeta marioni,sealifebase,Heterocirrus marioni,synonym,Aphelochaeta,Cirratulidae,Canalipalpata,Polychaeta,NA,0,1,1
056,38614,Belgium,Aphelochaeta marioni,sealifebase,Tharyx marioni,synonym,Aphelochaeta,Cirratulidae,Canalipalpata,Polychaeta,NA,0,1,1
826,89471,UK,Aphelodoris brunnea,sealifebase,Aphelodoris brunnea,accepted name,Aphelodoris,Dorididae,Nudibranchia,Gastropoda,NA,0,0,1
056,23344,Belgium,Apherusa bispinosa,sealifebase,Apherusa bispinosa,accepted name,Apherusa,Calliopiidae,Amphipoda,Malacostraca,NA,0,0,1
826,9812,UK,Apherusa ovalipes,sealifebase,Apherusa ovalipes,accepted name,Apherusa,Calliopiidae,Amphipoda,Malacostraca,NA,0,0,1
056,38678,Belgium,Aphrodita aculeata,sealifebase,Aphrodita aculeata,accepted name,Aphrodita,Aphroditidae,Aciculata,Polychaeta,Sea mouse,0,0,1
056,38678,Belgium,Aphrodita aculeata,sealifebase,Aphrodita aculeate,synonym,Aphrodita,Aphroditidae,Aciculata,Polychaeta,Sea mouse,0,0,1
826,54708,UK,Aplidium pallidum,sealifebase,Amaroucium pallidum,synonym,Aplidium,Polyclinidae,Aplousobranchia,Ascidiacea,NA,0,0,1
826,54708,UK,Aplidium pallidum,sealifebase,Aplidium despectum,synonym,Aplidium,Polyclinidae,Aplousobranchia,Ascidiacea,NA,0,0,1
826,54708,UK,Aplidium pallidum,sealifebase,Aplidium pallidum,accepted name,Aplidium,Polyclinidae,Aplousobranchia,Ascidiacea,NA,0,0,1
826,54721,UK,Aplidium proliferum,sealifebase,Amaroucium proliferum,synonym,Aplidium,Polyclinidae,Aplousobranchia,Ascidiacea,NA,0,0,1
826,54721,UK,Aplidium proliferum,sealifebase,Aplidium proliferum,accepted name,Aplidium,Polyclinidae,Aplousobranchia,Ascidiacea,NA,0,0,1
056,8436,Belgium,Aplysia punctata,sealifebase,Aplysia punctata,accepted name,Aplysia,Aplysiidae,Aplysiida,Gastropoda,Spotted sea hare,0,0,1
056,19047,Belgium,Apocorophium lacustre,sealifebase,Apocorophium lacustre,accepted name,Apocorophium,Corophiidae,Amphipoda,Malacostraca,NA,0,0,1
056,19929,Belgium,Apolochus neapolitanus,sealifebase,Apolochus neapolitanus,accepted name,Apolochus,Amphilochidae,Amphipoda,Malacostraca,NA,0,0,1
826,22582,UK,Apseudes spinosus,sealifebase,Apseudes spinosus,accepted name,Apseudes,Apseudidae,Tanaidacea,Malacostraca,NA,0,0,1
826,22582,UK,Apseudes spinosus,sealifebase,Rhoea spinosa,synonym,Apseudes,Apseudidae,Tanaidacea,Malacostraca,NA,0,0,1
056,22584,Belgium,Apseudes talpa,sealifebase,Apseudes talpa,accepted name,Apseudes,Apseudidae,Tanaidacea,Malacostraca,NA,0,0,1
056,22584,Belgium,Apseudes talpa,sealifebase,Eupheus talpa,synonym,Apseudes,Apseudidae,Tanaidacea,Malacostraca,NA,0,0,1
826,47573,UK,Arca zebra,sealifebase,Arca occidentalis,synonym,Arca,Arcidae,Arcida,Bivalvia,Turkey wing,0,0,1
826,47573,UK,Arca zebra,sealifebase,Arca zebra,accepted name,Arca,Arcidae,Arcida,Bivalvia,Turkey wing,0,0,1
056,48578,Belgium,Arcopagia crassa,sealifebase,Arcopagia crassa,accepted name,Arcopagia,Tellinidae,Cardiida,Bivalvia,Blunt tellin,0,0,1
