DTNHM4988-22.COI-5P	k__Animalia; p__Chordata; c__Aplacophora; o__Not assigned; f__Chaetodermidae; g__Chaetoderma; s__nitidulum
ENSI081-22.COI-5P	k__Animalia; p__Chordata; c__Bivalvia; o__Adapedonta; f__Pharidae; g__Ensis; s__ensis
1035661995	k__Animalia; p__Chordata; c__Bivalvia; o__Adapedonta; f__Pharidae; g__Ensis; s__leei
1035662177	k__Animalia; p__Chordata; c__Bivalvia; o__Adapedonta; f__Pharidae; g__Ensis; s__leei
1376009437	k__Animalia; p__Chordata; c__Bivalvia; o__Adapedonta; f__Pharidae; g__Ensis; s__leei
193085112	k__Animalia; p__Chordata; c__Bivalvia; o__Adapedonta; f__Pharidae; g__Ensis; s__leei
193085114	k__Animalia; p__Chordata; c__Bivalvia; o__Adapedonta; f__Pharidae; g__Ensis; s__leei
193085116	k__Animalia; p__Chordata; c__Bivalvia; o__Adapedonta; f__Pharidae; g__Ensis; s__leei
1948450030	k__Animalia; p__Chordata; c__Bivalvia; o__Adapedonta; f__Pharidae; g__Ensis; s__leei
1948450036	k__Animalia; p__Chordata; c__Bivalvia; o__Adapedonta; f__Pharidae; g__Ensis; s__leei
1948450040	k__Animalia; p__Chordata; c__Bivalvia; o__Adapedonta; f__Pharidae; g__Ensis; s__leei
564734813	k__Animalia; p__Chordata; c__Bivalvia; o__Adapedonta; f__Pharidae; g__Ensis; s__leei
908309080	k__Animalia; p__Chordata; c__Bivalvia; o__Adapedonta; f__Pharidae; g__Ensis; s__leei
908309172	k__Animalia; p__Chordata; c__Bivalvia; o__Adapedonta; f__Pharidae; g__Ensis; s__leei
908309490	k__Animalia; p__Chordata; c__Bivalvia; o__Adapedonta; f__Pharidae; g__Ensis; s__leei
908309508	k__Animalia; p__Chordata; c__Bivalvia; o__Adapedonta; f__Pharidae; g__Ensis; s__leei
ENSI003-22.COI-5P	k__Animalia; p__Chordata; c__Bivalvia; o__Adapedonta; f__Pharidae; g__Ensis; s__leei
ENSI048-22.COI-5P	k__Animalia; p__Chordata; c__Bivalvia; o__Adapedonta; f__Pharidae; g__Ensis; s__leei
ENSI083-22.COI-5P	k__Animalia; p__Chordata; c__Bivalvia; o__Adapedonta; f__Pharidae; g__Ensis; s__leei
ENSI085-22.COI-5P	k__Animalia; p__Chordata; c__Bivalvia; o__Adapedonta; f__Pharidae; g__Ensis; s__leei
