speciesName,status,SpecCode,validName,class,order,family,genus,commonName,commonSpecies,C_Code,country,database,databaseVersion
Pristiurus melanostomus,synonym,807,Galeus melastomus,Elasmobranchii,Carcharhiniformes,Pentanchidae,Galeus,Blackmouth catshark,TRUE,056,Belgium,fishbase,24.07
Pristiurus melastomus,synonym,807,Galeus melastomus,Elasmobranchii,Carcharhiniformes,Pentanchidae,Galeus,Blackmouth catshark,TRUE,056,Belgium,fishbase,24.07
Pristiurus souverbiei,synonym,807,Galeus melastomus,Elasmobranchii,Carcharhiniformes,Pentanchidae,Galeus,Blackmouth catshark,TRUE,056,Belgium,fishbase,24.07
Scyllium artedi,synonym,807,Galeus melastomus,Elasmobranchii,Carcharhiniformes,Pentanchidae,Galeus,Blackmouth catshark,TRUE,056,Belgium,fishbase,24.07
Scyllium artedii,synonym,807,Galeus melastomus,Elasmobranchii,Carcharhiniformes,Pentanchidae,Galeus,Blackmouth catshark,TRUE,056,Belgium,fishbase,24.07
Scyllium melanostomum,synonym,807,Galeus melastomus,Elasmobranchii,Carcharhiniformes,Pentanchidae,Galeus,Blackmouth catshark,TRUE,056,Belgium,fishbase,24.07
Squalus annulatus,synonym,807,Galeus melastomus,Elasmobranchii,Carcharhiniformes,Pentanchidae,Galeus,Blackmouth catshark,TRUE,056,Belgium,fishbase,24.07
Squalus delarochianus,synonym,807,Galeus melastomus,Elasmobranchii,Carcharhiniformes,Pentanchidae,Galeus,Blackmouth catshark,TRUE,056,Belgium,fishbase,24.07
Squalus prionurus,synonym,807,Galeus melastomus,Elasmobranchii,Carcharhiniformes,Pentanchidae,Galeus,Blackmouth catshark,TRUE,056,Belgium,fishbase,24.07
Pseudotriakis microdon,accepted name,2536,Pseudotriakis microdon,Elasmobranchii,Carcharhiniformes,Pseudotriakidae,Pseudotriakis,False catshark,TRUE,826,UK,fishbase,24.07
Pseudotriakis acrages,synonym,2536,Pseudotriakis microdon,Elasmobranchii,Carcharhiniformes,Pseudotriakidae,Pseudotriakis,False catshark,TRUE,826,UK,fishbase,24.07
Pseudotriakis acrales,synonym,2536,Pseudotriakis microdon,Elasmobranchii,Carcharhiniformes,Pseudotriakidae,Pseudotriakis,False catshark,TRUE,826,UK,fishbase,24.07
Scyliorhinus canicula,accepted name,845,Scyliorhinus canicula,Elasmobranchii,Carcharhiniformes,Scyliorhinidae,Scyliorhinus,Lesser spotted dogfish,TRUE,056,Belgium,fishbase,24.07
Catulus caniculus,synonym,845,Scyliorhinus canicula,Elasmobranchii,Carcharhiniformes,Scyliorhinidae,Scyliorhinus,Lesser spotted dogfish,TRUE,056,Belgium,fishbase,24.07
Haploblepharus caniculus,synonym,845,Scyliorhinus canicula,Elasmobranchii,Carcharhiniformes,Scyliorhinidae,Scyliorhinus,Lesser spotted dogfish,TRUE,056,Belgium,fishbase,24.07
Sciliorhinus caniculus,synonym,845,Scyliorhinus canicula,Elasmobranchii,Carcharhiniformes,Scyliorhinidae,Scyliorhinus,Lesser spotted dogfish,TRUE,056,Belgium,fishbase,24.07
Scyliorhinus canicula albomaculata,synonym,845,Scyliorhinus canicula,Elasmobranchii,Carcharhiniformes,Scyliorhinidae,Scyliorhinus,Lesser spotted dogfish,TRUE,056,Belgium,fishbase,24.07
Scyliorhinus caniculus,synonym,845,Scyliorhinus canicula,Elasmobranchii,Carcharhiniformes,Scyliorhinidae,Scyliorhinus,Lesser spotted dogfish,TRUE,056,Belgium,fishbase,24.07
