source;dbid;taxon;action;note;barcode
GENBANK;1215492583;Auxis rochei;REMOVE;Wacky sequence very different from others;coi.lerayxt
GENBANK;1563214938;Auxis rochei;REMOVE;Wacky sequence very different from others;coi.lerayxt
GENBANK;MFLE607-15.COI-5P;Auxis rochei;REMOVE;Sativa: Nested in a cluster of Auxis thazard;coi.lerayxt
GENBANK;MFLE610-15.COI-5P;Auxis rochei;REMOVE;Sativa: Nested in a cluster of Auxis thazard;coi.lerayxt
BOLD;MFLE613-15.COI-5P;Auxis rochei;REMOVE;Sativa: Nested in a cluster of Auxis thazard;coi.lerayxt
GENBANK;MFSP2102-12.COI-5P;Auxis rochei;REMOVE;Sativa: Nested in a cluster of Auxis thazard;coi.lerayxt
GENBANK;MFSP2103-12.COI-5P;Auxis rochei;REMOVE;Sativa: Nested in a cluster of Auxis thazard;coi.lerayxt
GENBANK;MFSP2104-12.COI-5P;Auxis rochei;REMOVE;Sativa: Nested in a cluster of Auxis thazard;coi.lerayxt
GENBANK;SAIAD314-11.COI-5P;Auxis rochei;REMOVE;Sativa: Nested in a cluster of Auxis thazard;coi.lerayxt
GENBANK;320560557;Auxis thazard;REMOVE;Sativa: Nested in a cluster of Auxis rochei;coi.lerayxt
GENBANK;723115752;Auxis thazard;REMOVE;Sativa: Nested in a cluster of Auxis rochei;coi.lerayxt
GENBANK;1002677635;Auxis thazard;REMOVE;Sativa: Nested in a cluster of Auxis rochei;coi.lerayxt
GENBANK;1236613294;Auxis thazard;REMOVE;Sativa: Nested in a cluster of Auxis rochei;coi.lerayxt
GENBANK;1515257710;Auxis thazard;REMOVE;Sativa: Nested in a cluster of Auxis rochei;coi.lerayxt
GENBANK;1829760223;Auxis thazard;REMOVE;Sativa: Grouped with Carangiformes;coi.lerayxt
GENBANK;3004672176;Auxis thazard;REMOVE;Sativa: Nested in a cluster of Auxis rochei;coi.lerayxt
GENBANK;3004672536;Auxis thazard;REMOVE;Sativa: Nested in a cluster of Auxis rochei;coi.lerayxt
BOLD;FTW278-09.COI-5P;Auxis thazard;REMOVE;Sativa: Grouped with Aulopiformes;coi.lerayxt
GENBANK;FTWS289-09.COI-5P;Auxis thazard;REMOVE;Sativa: Nested in a cluster of Auxis rochei;coi.lerayxt
GENBANK;FTWS290-09.COI-5P;Auxis thazard;REMOVE;Sativa: Nested in a cluster of Auxis rochei;coi.lerayxt
GENBANK;MFLE618-15.COI-5P;Auxis thazard;REMOVE;Sativa: Nested in a cluster of Auxis rochei;coi.lerayxt
GENBANK;MFLE620-15.COI-5P;Auxis thazard;REMOVE;Sativa: Nested in a cluster of Auxis rochei;coi.lerayxt
BOLD;MFLE622-15.COI-5P;Auxis thazard;REMOVE;Sativa: Nested in a cluster of Auxis rochei;coi.lerayxt
BOLD;MFLE624-15.COI-5P;Auxis thazard;REMOVE;Sativa: Nested in a cluster of Auxis rochei;coi.lerayxt
BOLD;MFLE628-15.COI-5P;Auxis thazard;REMOVE;Sativa: Nested in a cluster of Auxis rochei;coi.lerayxt
GENBANK;MFLE629-15.COI-5P;Auxis thazard;REMOVE;Sativa: Nested in a cluster of Auxis rochei;coi.lerayxt
GENBANK;MFLE631-15.COI-5P;Auxis thazard;REMOVE;Sativa: Nested in a cluster of Auxis rochei;coi.lerayxt
GENBANK;MFLE632-15.COI-5P;Auxis thazard;REMOVE;Sativa: Nested in a cluster of Auxis rochei;coi.lerayxt
BOLD;MFLE633-15.COI-5P;Auxis thazard;REMOVE;Sativa: Nested in a cluster of Auxis rochei;coi.lerayxt
BOLD;MFLE634-15.COI-5P;Auxis thazard;REMOVE;Sativa: Nested in a cluster of Auxis rochei;coi.lerayxt
GENBANK;109639204;Avocettina infans;REMOVE;Wacky sequence very different from others;12s.miya
GENBANK;294988808;Avocettina infans;REMOVE;Wacky sequence very different from others;coi.lerayxt
GENBANK;1040783067;Avocettina infans;REMOVE;Sativa: Grouped with Notacanthiformes;coi.lerayxt
GENBANK;1918447694;Avocettina infans;REMOVE;Wacky sequence very different from others;12s.miya
GENBANK;2491777147;Avocettina infans;REMOVE;Wacky sequence very different from others;12s.miya
BOLD;DSSAF635-11.COI-5P;Avocettina infans;REMOVE;Blasts as Myctophum nitidulum & Myctophum affine;coi.lerayxt
GENBANK;2867082760;Bathylagus euryops;REMOVE;Blasts as Cyclothone pseudopallida & Cyclothone acclinidens;coi.lerayxt
GENBANK;209365937;Bathyraja spinicauda;REMOVE;Blasts as Bathyraja spinosissima & Bathyraja griseocauda;coi.lerayxt
BOLD;347978572;Bathyraja spinicauda;REMOVE;Wacky sequence very different from others;coi.lerayxt
GENBANK;347978586;Bathyraja spinicauda;REMOVE;Sativa: Grouped with Rajidae;coi.lerayxt
GENBANK;2030177185;Bathyraja spinicauda;REMOVE;Bad quality sequence?;coi.lerayxt
GENBANK;SCAFB786-07.COI-5P;Bathyraja spinicauda;REMOVE;Sativa: Grouped with Rajidae;coi.lerayxt
BOLD;SCFAC870-06.COI-5P;Bathyraja spinicauda;REMOVE;Wacky sequence very different from others;coi.lerayxt
GENBANK;672918342;Belone belone;REMOVE;Sativa: Nested in a cluster of Belone svetovidovi;coi.lerayxt
GENBANK;2843568888;Belone belone;REMOVE;Sativa: Nested in a cluster of Belone svetovidovi;coi.lerayxt
GENBANK;2843568890;Belone belone;REMOVE;Sativa: Nested in a cluster of Belone svetovidovi;coi.lerayxt
