speciesName,status,SpecCode,validName,class,order,family,genus,commonName,commonSpecies,C_Code,country,database,databaseVersion
Galeus canis,synonym,4642,Galeorhinus galeus,Elasmobranchii,Carcharhiniformes,Triakidae,Galeorhinus,Tope shark,TRUE,056,Belgium,fishbase,24.07
Galeus chilensis,synonym,4642,Galeorhinus galeus,Elasmobranchii,Carcharhiniformes,Triakidae,Galeorhinus,Tope shark,TRUE,056,Belgium,fishbase,24.07
Galeus communis,synonym,4642,Galeorhinus galeus,Elasmobranchii,Carcharhiniformes,Triakidae,Galeorhinus,Tope shark,TRUE,056,Belgium,fishbase,24.07
Galeus linnei,synonym,4642,Galeorhinus galeus,Elasmobranchii,Carcharhiniformes,Triakidae,Galeorhinus,Tope shark,TRUE,056,Belgium,fishbase,24.07
Galeus molinae,synonym,4642,Galeorhinus galeus,Elasmobranchii,Carcharhiniformes,Triakidae,Galeorhinus,Tope shark,TRUE,056,Belgium,fishbase,24.07
Galeus nilssoni,synonym,4642,Galeorhinus galeus,Elasmobranchii,Carcharhiniformes,Triakidae,Galeorhinus,Tope shark,TRUE,056,Belgium,fishbase,24.07
Galeus vulgaris,synonym,4642,Galeorhinus galeus,Elasmobranchii,Carcharhiniformes,Triakidae,Galeorhinus,Tope shark,TRUE,056,Belgium,fishbase,24.07
Galeus zyopterus,synonym,4642,Galeorhinus galeus,Elasmobranchii,Carcharhiniformes,Triakidae,Galeorhinus,Tope shark,TRUE,056,Belgium,fishbase,24.07
Notogaleus australis,synonym,4642,Galeorhinus galeus,Elasmobranchii,Carcharhiniformes,Triakidae,Galeorhinus,Tope shark,TRUE,056,Belgium,fishbase,24.07
Notogaleus rhinophanes,synonym,4642,Galeorhinus galeus,Elasmobranchii,Carcharhiniformes,Triakidae,Galeorhinus,Tope shark,TRUE,056,Belgium,fishbase,24.07
Squalus galeus,synonym,4642,Galeorhinus galeus,Elasmobranchii,Carcharhiniformes,Triakidae,Galeorhinus,Tope shark,TRUE,056,Belgium,fishbase,24.07
Squalus rhinophanes,synonym,4642,Galeorhinus galeus,Elasmobranchii,Carcharhiniformes,Triakidae,Galeorhinus,Tope shark,TRUE,056,Belgium,fishbase,24.07
Mustelus asterias,accepted name,5938,Mustelus asterias,Elasmobranchii,Carcharhiniformes,Triakidae,Mustelus,Starry smooth-hound,TRUE,056,Belgium,fishbase,24.07
