source,dbid,taxon,action,note,barcode
GENBANK,261343166,Acipenser sturio,REMOVE,Bad quality sequence? Blasts only against itself,coi.lerayxt
GENBANK,2662342323,Salmo trutta,REMOVE,Wacky sequence very different from others,coi.lerayxt
GENBANK,2677153581,Mugil cephalus,REMOVE,Bad quality sequence?,coi.lerayxt
GENBANK,2677153583,Mugil cephalus,REMOVE,Bad quality sequence?,coi.lerayxt
GENBANK,2677153719,Mugil cephalus,REMOVE,Bad quality sequence?,coi.lerayxt
GENBANK,2677154097,Mugil cephalus,REMOVE,Bad quality sequence?,coi.lerayxt
GENBANK,269847992,Thunnus thynnus,REMOVE,Blasts as Thunnus orientalis,coi.lerayxt
GENBANK,269847994,Thunnus thynnus,REMOVE,Blasts as Thunnus alalunga,coi.lerayxt
GENBANK,269848004,Thunnus thynnus,REMOVE,Blasts as Thunnus alalunga,coi.lerayxt
GENBANK,269848006,Thunnus thynnus,REMOVE,Blasts as Thunnus orientalis,coi.lerayxt
GENBANK,2707615693,Zoarces viviparus,REMOVE,Blasts as Zoarces elongatus,12s.miya
GENBANK,2717324528,Salmo salar,REMOVE,Wacky sequence very different from others,coi.lerayxt
GENBANK,2724829064,Zoarces viviparus,REMOVE,Blasts as Zoarces elongatus,12s.miya
GENBANK,2751155962,Pomatoschistus minutus,REMOVE,Blasts as Pomatoschistus marmoratus,coi.lerayxt
GENBANK,2751155977,Pomatoschistus minutus,REMOVE,Blasts as Pomatoschistus marmoratus,coi.lerayxt
GENBANK,2780073366,Salmo trutta,REMOVE,Blasts as Salmo ischchan,coi.lerayxt
GENBANK,2812967780,Salmo salar,REMOVE,Wacky sequence very different from others,12s.miya
GENBANK,282935451,Salmo trutta,REMOVE,Blasts as Salmo ischchan,12s.miya
GENBANK,2843568888,Belone belone,REMOVE,Wacky sequence very different from others,coi.lerayxt
GENBANK,2843568890,Belone belone,REMOVE,Wacky sequence very different from others,coi.lerayxt
GENBANK,2843568892,Belone belone,REMOVE,Wacky sequence very different from others,coi.lerayxt
GENBANK,2843568894,Belone belone,REMOVE,Wacky sequence very different from others,coi.lerayxt
GENBANK,2843568896,Belone belone,REMOVE,Wacky sequence very different from others,coi.lerayxt
GENBANK,289546383,Engraulis encrasicolus,REMOVE,Sativa: Grouped with Scombriformes,coi.lerayxt
GENBANK,2898675538,Mugil cephalus,REMOVE,Wacky sequence very different from others,coi.lerayxt
GENBANK,2898675566,Mugil cephalus,REMOVE,Blasts as Paramugil georgii & Mugil liza,coi.lerayxt
GENBANK,291164060,Mugil cephalus,REMOVE,Blasts as Mugil trichodon & Belonidae sp.,coi.lerayxt
GENBANK,291164062,Mugil cephalus,REMOVE,Blasts as Mugil trichodon & Belonidae sp.,coi.lerayxt
GENBANK,291164064,Mugil cephalus,REMOVE,Blasts as Mugil trichodon & Belonidae sp.,coi.lerayxt
GENBANK,291164066,Mugil cephalus,REMOVE,Blasts as Mugil trichodon & Belonidae sp.,coi.lerayxt
GENBANK,291164068,Mugil cephalus,REMOVE,Blasts as Mugil trichodon & Belonidae sp.,coi.lerayxt
GENBANK,2946713489,Mullus barbatus,REMOVE,Wacky sequence very different from others,coi.lerayxt
GENBANK,296747855,Galeus melastomus,REMOVE,Sativa: Grouped with Squaliformes,coi.lerayxt
GENBANK,296747869,Galeus melastomus,REMOVE,Sativa: Grouped with Scyliorhinidae,coi.lerayxt
GENBANK,296837010,Myliobatis aquila,REMOVE,Wacky sequence very different from others,coi.lerayxt
GENBANK,297524781,Mugil cephalus,REMOVE,Blasts as Mugil trichodon & Belonidae sp.,coi.lerayxt
GENBANK,297524783,Mugil cephalus,REMOVE,Blasts as Mugil trichodon & Belonidae sp.,coi.lerayxt
GENBANK,2989752345,Euthynnus alletteratus,REMOVE,Wacky sequence very different from others,coi.lerayxt
GENBANK,2994718434,Myxine glutinosa,REMOVE,Blasts as Myxine limosa,coi.lerayxt
GENBANK,3004782319,Mugil cephalus,REMOVE,Blasts as Planiliza tade & Liza sp.,coi.lerayxt
GENBANK,3040659606,Salmo trutta,REMOVE,Blasts as Salmo ischchan,coi.lerayxt
GENBANK,3071570953,Diplecogaster bimaculata,REMOVE,Bad quality sequence? Blasts only against itself,coi.lerayxt
GENBANK,307341802,Chelidonichthys lastoviza,REMOVE,Wacky sequence very different from others,coi.lerayxt
GENBANK,307341812,Chelidonichthys lastoviza,REMOVE,Blasts as Chelidonichthys lucerna,coi.lerayxt
GENBANK,307341814,Chelidonichthys lastoviza,REMOVE,Sativa: Nested in a cluster of Chelidonichthys lucerna,coi.lerayxt
GENBANK,307342146,Boops boops,REMOVE,Wacky sequence very different from others,coi.lerayxt
GENBANK,307342148,Boops boops,REMOVE,Blasts as Sarpa salpa,coi.lerayxt
GENBANK,307639816,Engraulis encrasicolus,REMOVE,Sativa: Grouped with Scombriformes,coi.lerayxt
GENBANK,307640021,Salvelinus alpinus,REMOVE,Blasts as Salvelinus curilus & Salvelinus malma,12s.miya
GENBANK,308321069,Alopias vulpinus,REMOVE,Bad quality sequence? Blasts only against itself,coi.lerayxt
GENBANK,3113904375,Callionymus reticulatus,REMOVE,Blasts as Scomber japonicus & Scomber australasicus,12s.miya
GENBANK,311981876,Mugil cephalus,REMOVE,Blasts as Mugil trichodon & Belonidae sp.,coi.lerayxt
GENBANK,311981878,Mugil cephalus,REMOVE,Blasts as Mugil trichodon & Belonidae sp.,coi.lerayxt
GENBANK,311981880,Mugil cephalus,REMOVE,Blasts as Mugil trichodon & Belonidae sp.,coi.lerayxt
GENBANK,311981884,Mugil cephalus,REMOVE,Blasts as Mugil trichodon & Belonidae sp.,coi.lerayxt
GENBANK,311981906,Mugil cephalus,REMOVE,Blasts as Mugil trichodon & Belonidae sp.,coi.lerayxt
GENBANK,311981908,Mugil cephalus,REMOVE,Blasts as Mugil trichodon & Belonidae sp.,coi.lerayxt
GENBANK,311981910,Mugil cephalus,REMOVE,Blasts as Mugil trichodon & Belonidae sp.,coi.lerayxt
GENBANK,311981912,Mugil cephalus,REMOVE,Blasts as Mugil trichodon & Belonidae sp.,coi.lerayxt
GENBANK,311981914,Mugil cephalus,REMOVE,Blasts as Mugil trichodon & Belonidae sp.,coi.lerayxt
GENBANK,312932705,Lampetra fluviatilis,REMOVE,Blasts as Lampetra planeri,coi.lerayxt
GENBANK,312932707,Lampetra fluviatilis,REMOVE,Blasts as Lampetra planeri,coi.lerayxt
GENBANK,317423478,Pollachius virens,REMOVE,Blasts as Pollachius pollachius,12s.miya
GENBANK,321118775,Anguilla anguilla,REMOVE,Blasts as Anguilla rostrata,coi.lerayxt
GENBANK,321119081,Anguilla anguilla,REMOVE,Blasts as Anguilla rostrata,coi.lerayxt
GENBANK,321402336,Myoxocephalus scorpius,REMOVE,Wacky sequence very different from others,coi.lerayxt
GENBANK,322422606,Pollachius virens,REMOVE,Blasts as Pollachius pollachius,12s.miya
GENBANK,32364332,Sardina pilchardus,REMOVE,Wacky sequence very different from others,12s.miya
GENBANK,325556673,Scyliorhinus stellaris,REMOVE,Sativa: Nested in a cluster of Scyliorhinus canicula,coi.lerayxt
GENBANK,325556681,Squalus acanthias,REMOVE,Wacky sequence very different from others,coi.lerayxt
GENBANK,325556683,Squalus acanthias,REMOVE,Wacky sequence very different from others,coi.lerayxt
GENBANK,325556685,Squalus acanthias,REMOVE,Wacky sequence very different from others,coi.lerayxt
GENBANK,325556687,Squalus acanthias,REMOVE,Wacky sequence very different from others,coi.lerayxt
GENBANK,325556689,Squalus acanthias,REMOVE,Wacky sequence very different from others,coi.lerayxt
GENBANK,325556691,Squalus acanthias,REMOVE,Wacky sequence very different from others,coi.lerayxt
GENBANK,325556693,Squalus acanthias,REMOVE,Wacky sequence very different from others,coi.lerayxt
GENBANK,325556701,Leucoraja naevus,REMOVE,Sativa: Grouped with Raja,coi.lerayxt
GENBANK,328485208,Diplodus sargus,REMOVE,Wacky sequence very different from others,coi.lerayxt
GENBANK,328486316,Myliobatis aquila,REMOVE,Wacky sequence very different from others,coi.lerayxt
GENBANK,328487756,Syngnathus acus,REMOVE,Wacky sequence very different from others,coi.lerayxt
GENBANK,328487904,Trachurus trachurus,REMOVE,Blasts as Trachurus lathami,coi.lerayxt
GENBANK,328487906,Trachurus trachurus,REMOVE,Blasts as Trachurus lathami,coi.lerayxt
GENBANK,328487908,Trachurus trachurus,REMOVE,Blasts as Trachurus lathami,coi.lerayxt
GENBANK,328487910,Trachurus trachurus,REMOVE,Wacky sequence very different from others,coi.lerayxt
GENBANK,328487926,Chelidonichthys lastoviza,REMOVE,Wacky sequence very different from others,coi.lerayxt
GENBANK,328487928,Chelidonichthys lastoviza,REMOVE,Wacky sequence very different from others,coi.lerayxt
GENBANK,328487930,Chelidonichthys lastoviza,REMOVE,Wacky sequence very different from others,coi.lerayxt
GENBANK,328487932,Chelidonichthys lastoviza,REMOVE,Wacky sequence very different from others,coi.lerayxt
GENBANK,328487934,Chelidonichthys lastoviza,REMOVE,Wacky sequence very different from others,coi.lerayxt
GENBANK,328487936,Chelidonichthys lastoviza,REMOVE,Wacky sequence very different from others,coi.lerayxt
GENBANK,328487938,Chelidonichthys lastoviza,REMOVE,Wacky sequence very different from others,coi.lerayxt
GENBANK,328487940,Chelidonichthys lastoviza,REMOVE,Wacky sequence very different from others,coi.lerayxt
GENBANK,328797397,Pomatoschistus minutus,REMOVE,Blasts as Pomatoschistus marmoratus,coi.lerayxt
GENBANK,332886573,Chelon ramada,REMOVE,Sativa: Nested in a cluster of Chelon auratus,coi.lerayxt
GENBANK,332886583,Chelon ramada,REMOVE,Wacky sequence very different from others,coi.lerayxt
GENBANK,339431652,Mugil cephalus,REMOVE,Sativa: Grouped with Carangiformes,coi.lerayxt
GENBANK,339431654,Mugil cephalus,REMOVE,Sativa: Grouped with Carangiformes,coi.lerayxt
GENBANK,339635599,Mugil cephalus,REMOVE,Wacky sequence very different from others,coi.lerayxt
GENBANK,339635601,Mugil cephalus,REMOVE,Wacky sequence very different from others,coi.lerayxt
GENBANK,339770201,Lampetra fluviatilis,REMOVE,Blasts as Lampetra planeri,coi.lerayxt
GENBANK,343404099,Labrus mixtus,REMOVE,Wacky sequence very different from others,coi.lerayxt
BOLD,347978044,Amblyraja radiata,REMOVE,Wacky sequence very different from others,coi.lerayxt
GENBANK,347978072,Amblyraja radiata,REMOVE,Blasts as Leucoraja garmani & Malacoraja senta,coi.lerayxt
GENBANK,359817548,Squalus acanthias,REMOVE,Wacky sequence very different from others,coi.lerayxt
GENBANK,359817550,Squalus acanthias,REMOVE,Wacky sequence very different from others,coi.lerayxt
GENBANK,359817552,Squalus acanthias,REMOVE,Blasts as Squalus blainville,coi.lerayxt
GENBANK,359817554,Squalus acanthias,REMOVE,Blasts as Squalus blainville,coi.lerayxt
GENBANK,359817556,Squalus acanthias,REMOVE,Wacky sequence very different from others,coi.lerayxt
GENBANK,378554491,Salmo salar,REMOVE,Wacky sequence very different from others,12s.miya
GENBANK,381282115,Chelon ramada,REMOVE,Wacky sequence very different from others,coi.lerayxt
GENBANK,381282277,Mugil cephalus,REMOVE,Wacky sequence very different from others,coi.lerayxt
GENBANK,381282279,Mugil cephalus,REMOVE,Wacky sequence very different from others,coi.lerayxt
GENBANK,384369551,Lamna nasus,REMOVE,Sativa: Grouped with Alopiidae,coi.lerayxt
